name	offset	segment
_curautocode	0x00066664	1
_curelem	0x00065e90	1
_current_button	0x0007ce48	1
_current_buttongroup	0x000635f4	1
_current_hilit_button	0x0006664a	1
_curvrad	0x0007ce9c	1
_cuts_buffer_end	0x00096522	1
_cuts_dispatch	0x00065ed4	1
_cuts_screen	0x0007c0a4	1
_cutstmp	0x000826d4	1
_d2ttime_	0x0006055e	1
_damage	0x000795cc	1
_daylight	0x00078974	1
_dbact	0x0007ce98	1
_dballow	0x0007cebc	1
_dbhgt	0x0007ceca	1
_dbptr	0x0008213c	1
_dbwid	0x0007ce22	1
_ddone	0x000795c8	1
_def_mode	0x00066616	1
_demo_mode	0x00081e44	1
_denominator	0x00076490	1
_detail_buttongroup	0x000634c4	1
_didMouseInput	0x0006669b	1
_didhitobj	0x00081e47	1
_didmove	0x00081e61	1
_digi_fx_timer	0x0000cb10	1
_digi_src	0x00078f78	1
_dirtab	0x00065b14	1
_dirval	0x00081e63	1
_diskerr	0x00051846	1
_display_inventory_no_show	0x00066630	1
_dist8	0x0006665a	1
_distpoly	0x0006665c	1
_divide_overflow_has_occurred	0x00076487	1
_dl	0x000979ba	1
_dl_left	0x0009776e	1
_dl_right	0x00097772	1
_doMod	0x00081e5e	1
_dontchangedz	0x00081e60	1
_door_type	0x00081e50	1
_doorx	0x00081e69	1
_doory	0x00081e68	1
_dos_findfirst_	0x0005e548	1
_dos_findnext_	0x0005e55e	1
_dos_getdiskfree_	0x0005e598	1
_dos_getdrive_	0x0005e570	1
_dos_getftime_	0x0005e514	1
_dos_setdrive_	0x0005e584	1
_dos_setftime_	0x0005e534	1
_dosret0_	0x000604e3	1
_dosretax_	0x000604ea	1
_dp_tab	0x00066d1a	1
_drives	0x00081e98	1
_ds_channel_info	0x00078f8c	1
_ds_channel_status	0x00078d84	1
_ds_page_status	0x00078d86	1
_ds_pan	0x00063665	1
_ds_sounds_in_ems	0x00078f14	1
_ds_volume	0x00063664	1
_dsbuf	0x00078f60	1
_dsdata	0x0006365c	1
_dsfx_playing	0x00066642	1
_dtypes	0x0006656c	1
_du	0x000979ae	1
_du_left	0x00097752	1
_du_right	0x0009775e	1
_dungeonf	0x00081e25	1
_dv	0x000979b2	1
_dv_left	0x00097756	1
_dv_right	0x00097762	1
_dw	0x000979b6	1
_dw_left	0x00097766	1
_dw_right	0x0009776a	1
_dx_left	0x0009774e	1
_dx_right	0x0009775a	1
_dxtab	0x000659fa	1
_dyl	0x00097786	1
_dyr	0x0009778a	1
_edata	0x00078b10	1
_editor_dispatch	0x00065fa0	1
_effects	0x00078d8a	1
_emspages	0x0007cd94	1
_enc_dat	0x000658d1	1
_end	0x0009ab20	1
_end_pal	0x0007d2e6	1
_environ	0x000789c8	1
_errno	0x0009aae0	1
_exit_	0x0005fdea	1
_expand_	0x0006012e	1
_eyes	0x00065c78	1
_eyes_frame	0x00065c7a	1
_eyes_seq	0x00065c6e	1
_failed	0x00081e5a	1
_fauxright	0x00066656	1
_fbuf	0x000826d4	1
_file_buttongroup	0x0006355c	1
_first_anim	0x00068a08	1
_first_button	0x00066622	1
_first_obj	0x00066620	1
_first_tmobj	0x00066624	1
_first_vram	0x00066626	1
_fiz_update	0x00066613	1
_flagtab	0x00065d7c	1
_flaskMshandle	0x0007ce7a	1
_flat_case	0x00081e52	1
_flciel	0x00065941	1
_flooddata	0x000826d4	1
_focus_x	0x00065ec8	1
_focus_y	0x00065eca	1
_font4x5p	0x000665b0	1
_font5x6i	0x000665ca	1
_font5x6p	0x000665bd	1
_fontbig	0x000665d7	1
_fontchar	0x000665e3	1
_freelblptr	0x000826c5	1
_freelbls	0x00082144	1
_freepaths	0x000665fa	1
_frictionless	0x00081e58	1
_frmtot	0x00079d3b	1
_fromwho	0x000795c0	1
